Type,Trans Date,Post Date,Description,Amount
Sale,07/29/2017,07/30/2017,AMAZON PICKUP POINTS,-15.06
Sale,07/28/2017,07/30/2017,VONS     Store00020123,-12.38
Sale,07/28/2017,07/30/2017,MITSUWA-MUSASHIYA SD,-9.70
Sale,07/28/2017,07/30/2017,99 RANCH #1016,-11.60
Sale,07/28/2017,07/30/2017,KUNG FU TEA - SAN DIEGO,-5.40
Sale,07/27/2017,07/30/2017,COCA COLA SAN DIEGO CA,-1.75
Sale,07/27/2017,07/30/2017,SANTORINI GREEK ISLAND,-8.61
Sale,07/27/2017,07/28/2017,UCSD BOOKSTORE,-1.69
Sale,07/26/2017,07/27/2017,UCSD BOOKSTORE,-1.07
Sale,07/26/2017,07/27/2017,RALPHS #0108,-8.97
Sale,07/25/2017,07/27/2017,OASIS VALERO,-32.75
Sale,07/25/2017,07/27/2017,7 LEAVES CAFE,-4.25
Sale,07/25/2017,07/27/2017,85C BAKERY CAFE USA,-3.44
Sale,07/25/2017,07/26/2017,IN N OUT BURGER 095,-6.49
Sale,07/24/2017,07/25/2017,CHEVRON 0090319,-32.69
Sale,07/24/2017,07/26/2017,WHEEL WORKS 462462,-479.58
Sale,07/24/2017,07/26/2017,STARBUCKS STORE 03462,-5.55
Sale,07/24/2017,07/26/2017,STARBUCKS STORE 03462,-5.45
Sale,07/23/2017,07/25/2017,MCDONALDS  F25987,-1.07
Sale,07/23/2017,07/25/2017,CORNER BAKERY 0227,-1.49
Sale,07/23/2017,07/25/2017,EXXONMOBIL    97260350,-30.09
Sale,07/23/2017,07/25/2017,STARBUCKS STORE 03462,-3.45
Sale,07/23/2017,07/25/2017,MCDONALD'S F11181,-11.92
Sale,07/22/2017,07/24/2017,MCDONALD'S F11181,-7.85
Sale,07/21/2017,07/23/2017,AMAZON MKTPLACE PMTS,-7.99
Sale,07/21/2017,07/23/2017,MCDONALD'S F11181,-8.06
Sale,07/20/2017,07/23/2017,MCDONALD'S F11181,-4.07
Sale,07/19/2017,07/21/2017,COCA COLA SAN DIEGO CA,-1.75
Sale,07/19/2017,07/21/2017,COCA COLA SAN DIEGO CA,-1.75
Sale,07/19/2017,07/21/2017,SANTORINI GREEK ISLAND,-8.61
Sale,07/18/2017,07/19/2017,Amazon.com,-136.48
Sale,07/18/2017,07/19/2017,AMAZON PICKUP POINTS,-90.49
Sale,07/17/2017,07/18/2017,AMAZON MKTPLACE PMTS,-43.14
Sale,07/15/2017,07/16/2017,RALPHS #0108,-2.14
Sale,07/15/2017,07/16/2017,99 RANCH #1016,-56.40
Sale,07/14/2017,07/16/2017,UCSD STARBUCKS PRICE CTR,-5.67
Sale,07/13/2017,07/14/2017,KUNG FU TEA - SAN DIEGO,-4.59
Sale,07/13/2017,07/16/2017,COCA COLA SAN DIEGO CA,-1.75
Sale,07/12/2017,07/16/2017,EXXONMOBIL    97643332,-32.93
Sale,07/12/2017,07/13/2017,YOGURT WORLD MIRA MESA,-5.07
Sale,07/12/2017,07/14/2017,RALPHS #0108,-3.95
Sale,07/11/2017,07/12/2017,RALPHS #0108,-1.82
Sale,07/11/2017,07/12/2017,USA*SNACK SODA VENDING,-1.70
Sale,07/11/2017,07/12/2017,USA*SNACK SODA VENDING,-1.70
Sale,07/10/2017,07/12/2017,COCA COLA SAN DIEGO CA,-1.75
Sale,07/10/2017,07/12/2017,MCDONALD'S F11181,-4.73
Sale,07/10/2017,07/12/2017,MCDONALD'S F11181,-3.22
Sale,07/08/2017,07/10/2017,RALPHS #0108,-13.26
Sale,07/06/2017,07/09/2017,TAPIOCA EXPRESS,-3.25
Sale,07/06/2017,07/07/2017,ZYBOOKS COLLEGE TXTBOO,-48.00
Sale,07/05/2017,07/07/2017,TAPIOCA EXPRESS,-4.50
Sale,07/05/2017,07/06/2017,UCSD BOOKSTORE,-1.99
Sale,07/05/2017,07/06/2017,99 RANCH #1016,-30.17
Sale,07/04/2017,07/09/2017,NISHIKI RAMEN,-36.43
Sale,07/04/2017,07/05/2017,MITSUWA MRKTPLACE SD,-1.09
Sale,07/04/2017,07/06/2017,VONS     Store00020123,-7.42
Sale,07/03/2017,07/04/2017,POKI ONE N HALF,-10.76
Sale,07/02/2017,07/03/2017,MITSUWA MRKTPLACE SD,-18.87
Sale,07/01/2017,07/03/2017,VONS     Store00020123,-30.27
Sale,06/30/2017,07/02/2017,THE PROMISCUOUS FO,-12.96
Sale,06/30/2017,07/02/2017,THE PROMISCUOUS FO,-13.50
Sale,06/29/2017,06/30/2017,TRAVELERS PERSONAL INS,-36.00
Sale,06/29/2017,06/30/2017,RALPHS #0108,-7.60
Sale,06/28/2017,06/30/2017,VONS     Store00020123,-3.09
Sale,06/28/2017,06/30/2017,85C BAKERY CAFE USA,-13.92
Sale,06/27/2017,06/29/2017,DELMAR FAIRGROUNDS,-10.00
Sale,06/27/2017,06/29/2017,VONS     Store00020123,-4.93
Sale,06/27/2017,06/29/2017,SAN DIEGO FAIR,-20.00
Sale,06/27/2017,06/28/2017,CHICKEN CHARLIES AT FAIR,-4.50
Sale,06/27/2017,06/30/2017,EXXONMOBIL    97643332,-21.91
Sale,06/27/2017,06/28/2017,OLD TYME ICE CREAM,-8.00
Sale,06/26/2017,06/28/2017,JAPANESE RESTAURANT TAJIM,-29.94
Sale,06/25/2017,06/27/2017,RAMEN RAKI RAKI,-31.99
Sale,06/25/2017,06/26/2017,RALPHS #0108,-5.66
Sale,06/24/2017,06/25/2017,POSTAL ANNEX&amp;LA JOLLA CL,-3.45
Sale,06/24/2017,06/26/2017,KUNG FU TEA - SAN DIEGO,-4.86
